0050253839	female	155	43
0054203884	male	177	73
0076792815	female	178	71
0037780853	female	158	87
0024923679	male	160	44
0034794639	female	179	49
0036459667	male	172	46
0048722424	male	150	78
0027794077	female	162	73
0040108715	female	167	84
0022720901	female	151	78
0026391777	male	169	86
0051505072	male	174	79
0009243284	female	168	44
0084455910	female	175	76
0064137247	female	178	89
0086305711	male	175	83
0015417527	female	163	47
0001095651	male	156	80
0030953163	female	169	40
0069112546	female	160	49
0005841296	female	153	45
0083824145	female	178	72
0077660735	female	155	62
0059842184	male	159	68
0045826009	male	153	70
0094438169	female	167	48
0060645990	female	152	67
0004959770	female	164	68
0056371461	male	167	59
0050023830	male	151	64
0070406227	male	177	86
0090732751	male	176	89
0044292589	female	176	81
0016283707	male	169	88
0038464277	female	175	40
0091065697	female	171	63
0031045578	female	168	50
0032870202	male	160	41
0079580875	male	171	45
0011946767	male	178	81
0041802084	female	157	75
0081107171	male	156	55
0080562933	male	177	62
0055586532	male	169	65
0016552842	male	153	40
0006997129	female	157	47
0023713034	female	169	41
0003828280	male	178	77
0046879938	male	167	67
0017642411	male	150	40
0054258000	male	174	58
0055477109	female	167	89
0089589315	female	168	78
0044533584	male	151	46
0068261865	female	166	56
0018175516	male	160	82
0062874401	female	177	41
0098432948	male	165	55
0031966763	female	165	70
0066497288	male	160	41
0025966280	male	157	78
0047281698	female	167	83
0097592626	female	175	74
0009403891	female	168	69
0069546668	female	179	41
0009505825	male	157	69
0038210233	female	172	61
0048506167	male	153	41
0073535040	male	173	57
0003755988	male	152	65
0070145574	female	151	61
0053283031	female	165	77
0044748325	male	155	67
0027358365	female	152	81
0055858149	female	154	75
0072118207	male	174	65
0088567717	male	178	78
0015494657	male	156	52
0017159416	male	170	69
0067200328	male	170	78
0020177760	male	166	68
0052437969	male	160	76
0037199564	female	154	70
0072934145	male	172	61
0002979142	male	175	60
0028953223	female	164	84
0049882959	female	160	74
0012965802	male	155	62
0092518597	male	163	50
0033466606	female	168	87
0067033921	male	170	89
0015567745	female	158	40
0092390213	female	159	49
0055883527	female	169	55
0085046728	female	167	61
0012191938	male	166	86
0078755282	female	168	52
0042799658	male	172	61
0000883015	female	178	48
0037239402	male	159	58
0085228825	male	172	73
0094491753	male	152	84
0084019313	female	156	85
0070519101	female	176	82
0001543319	female	175	47
0037105210	male	158	66
0012215450	male	173	70
0048354312	female	173	83
0077836045	female	170	43
0044573270	female	179	55
0087608655	female	164	71
0044743209	male	169	56
0081174584	female	174	47
0070093533	male	162	45
0092733991	female	152	72
0008237389	male	173	63
0055315391	male	166	80
0097673148	female	171	53
0071933913	male	166	41
0051797113	male	168	81
0020736110	male	156	45
0079977297	female	161	63
0001348495	male	160	47
0067524941	female	171	49
0011067043	female	162	83
0099362126	male	167	79
0030564475	female	160	81
0024880517	female	171	41
0024823558	female	151	43
0054014428	male	173	60
0073596328	male	179	63
0043196610	male	165	51
0066999678	female	171	48
0033595905	male	151	55
0061779476	female	172	45
0002230152	male	165	70
0073800545	male	159	64
0047880260	male	165	63
0060567804	male	178	84
0072912008	female	163	46
0004944107	male	153	67
0011804816	male	153	40
0092684152	male	158	86
0072284704	female	170	72
0037202418	female	150	50
0039409239	male	169	54
0012329033	female	164	84
0041790497	male	151	76
0038776793	female	173	63
0099525369	male	155	57
0061290735	male	152	44
0009333970	male	165	71
0079907523	male	171	45
0032559204	female	167	77
